,titles,sub_titles,links
0,SPLASH HARRY,Kane spends Christmas break on beach after vowing to wind up England pals,https://www.thesun.co.uk/sport/25170301/harry-kane-christmas-beach-break-bayern-munich/
1,CON A ROLL,Chelsea ratings: Gallagher revels in new role but summer signing rusty on debut,https://www.thesun.co.uk/sport/25177216/chelsea-player-ratings-conor-gallagher-romeo-lavia/
2,EVERTON 1 MAN CITY 3,Champions fight back from goal down to ramp up pressure,https://www.thesun.co.uk/sport/25177923/manchester-city-everton-phil-foden-bernardo-silva/
3,BRENTFORD 1 WOLVES 4,Collins gifts former side two goals as Bees slip closer to drop zone,https://www.thesun.co.uk/sport/25161679/brentford-vs-wolves-live-score-latest-premier-league-updates/
4,SUPER ODDS,Arsenal vs West Ham odds: Get the Gunners at 40/1 to win with Paddy Power,https://www.thesun.co.uk/sport/25173449/arsenal-west-ham-odds-paddy-power/
5,OH MANN,Alisha Lehmann leaves fans in shock as they call glam footballer 'so cute',https://www.thesun.co.uk/sport/25177286/alisha-lehmann-instagram-followers-aston-villa/
6,'CLUELESS',Chelsea fans rage at Pochettino after tactical tweak against Crystal Palace,https://www.thesun.co.uk/sport/25177453/chelsea-mauricio-pochettino-crystal-palace/
7,GREEN LIGHT?,Barcelona 'to step up Greenwood interest' as fans threaten to withdraw support,https://www.thesun.co.uk/sport/25173203/barcelona-mason-greenwood-transfer-fans-man-utd/
8,SOCK EXCHANGE,Prem club forced to make unusual 'eyesore' kit clash as fans blast mismatch,https://www.thesun.co.uk/sport/25176931/crystal-palace-vs-chelsea-kit-clash/
9,GOLD,Brighton vs Tottenham odds: Get 30/1 for 1+ goal to be scored with Betfair,https://www.thesun.co.uk/sport/25173604/brighton-tottenham-odds-betfair-free-bets/
10,MEN UNITED,Man Utd stars ARE fighting for Ten Hag as stats show just how they beat Villa,https://www.thesun.co.uk/sport/25168548/man-utd-players-fighting-erik-ten-hag-villa/
11,LION POACHERS,Scotland 'ready to poach four Prem stars from England ' in Southgate dilemma,https://www.thesun.co.uk/sport/25177984/england-scotland-national-team-gordon-livramento-anderson-barnes/
12,ROD AWAKENING,Forgotten Prem flop James Rodriguez was left 'afraid' by Qatari traditions,https://www.thesun.co.uk/sport/25176831/james-rodriguez-qatar-everton-afraid/
13,WORK OF ART,Mikel Arteta lifts lid on Arsenal's January transfer plans amid injury crisis,https://www.thesun.co.uk/sport/25175784/arteta-arsenal-january-transfer/
14,NYD SPECIAL,"Win £100,000 tax free cash at 8pm on New Year's Day from just 71p",https://www.thesun.co.uk/sport/25009784/win-cash-competition-7dp/
15,GHOUL HANGER,Inside Ratcliffe's historic haunted pub where drinkers stick money on ceiling,https://www.thesun.co.uk/sport/25010784/sir-jim-ratcliffe-grenadier-pub-belgravia-man-utd/
16,,"Sir Jim Ratcliffe set to axe 300 United jobs, Ten Hag's future latest",https://www.thesun.co.uk/sport/25157965/man-utd-takeover-news-sir-jim-ratcliffe-graham-potter/
17,BOSSING IT,Ratcliffe has final say on Ten Hag axe despite not even being in control yet,https://www.thesun.co.uk/sport/25171446/man-utd-consult-jim-ratcliffe-sacking-ten-hag/
18,STOCKING UP,Sir Jim Ratcliffe's Man Utd stake ALREADY set to grow from 25 per cent,https://www.thesun.co.uk/sport/25171912/sir-jim-ratcliffe-man-utd-stake-increase-glazers/
19,RAT RACE,Glazers forced to pay huge fee to Sir Jim Ratcliffe if they change mind on sale,https://www.thesun.co.uk/sport/25174054/glazers-pay-ratcliffe-man-utd-takeover-sir-jim/
20,HAVIN' A BALL,Amazing fortune of ballboy kicked by Hazard revealed as Leno pushes youngster,https://www.thesun.co.uk/sport/25169591/ballboy-kicked-chelsea-eden-hazard-leno/
21,CON GONE?,Conor Gallagher among five Chelsea stars at risk of January transfer window exit,https://www.thesun.co.uk/sport/25176435/chelsea-transfer-plans-conor-gallagher-exit/
22,SPUR OF THE MOMENT,Tottenham star recalled from loan with Son set to miss up to SIX games,https://www.thesun.co.uk/sport/25175583/tottenham-dane-scarlett-recalled-ipswich-loan-son/
23,TOT TRUMPS,Fans convinced Premier League title will be won at Tottenham Hotspur Stadium,https://www.thesun.co.uk/sport/25176092/fans-premier-league-title-won-tottenham-hotspur-stadium/
24,SAM THE MAN,Allardyce labelled 'pioneer' as pints of wine to hit 'UK shelves for 1st time',https://www.thesun.co.uk/sport/25171831/sam-allardyce-pints-wine/
25,OH BOY,Shocking moment Fulham keeper pushes ballboy as fans brand him an 'utter disgrace',https://www.thesun.co.uk/sport/25166139/fulham-keeper-bernd-leno-pushes-bournemouth-ballboy/
26,ON KAL,Newcastle 'step up' Phillips interest as Toon face being forced to sell huge star,https://www.thesun.co.uk/sport/25175840/newcastle-kalvin-phillips-transfer-man-city/
27,REID-Y TO GO,I was on Man Utd books as a teen.. now I've sealed move to Europa League club,https://www.thesun.co.uk/sport/25176312/man-utd-arsenal-tyler-reid-transfer-sheriff/
28,OUT ON HIS SHIELD,Ex-Prem star sacked by non-league club after replacing Golden Boot winner,https://www.thesun.co.uk/sport/25172415/south-shields-sack-julio-arca-national-league-north/
29,GOT CARRA'D AWAY,Carragher's cheeky half-time pop at Man Utd spectacularly backfires,https://www.thesun.co.uk/sport/25170715/jamie-carraghers-cheeky-half-time-tweet-man-utd-backfires/
30,JINGLE BARBELLS,Reshmin Chowdhury treats fans to gym snap as host shows off toned midriff,https://www.thesun.co.uk/sport/25174774/reshmin-chowdhury-workout-tnt-sports-toned/
31,,Evra jokes 'I'm going to cry in the toilet' as Liverpool stat ruins Utd's shock win,https://www.thesun.co.uk/sport/25170908/patrice-evra-man-utd-amazon-toilet-liverpool/
32,DREAM LUND,Hojlund reveals how he avoided 'going crazy' as he chased first Man Utd goal,https://www.thesun.co.uk/sport/25172373/rasmus-hojlund-first-goal-premier-league/
33,SNOW JOKE,Rangers v Ross County game OFF with Staggies team bus unable to get to Ibrox,https://www.thesun.co.uk/sport/25173391/rangers-ross-county-game-off-team-bus-a9-ibrox/
34,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
35,FLYING FORTY,Get £40 in free acca bets when you stake £10 with Sky Bet,https://www.thesun.co.uk/sport/24038611/sky-bet-free-bets-accumulators-new-customer-bonus/
36,POWER UP,Get £40 in free football Bet Builder bets when you stake £10 with Paddy Power,https://www.thesun.co.uk/sport/football/19782139/paddy-power-free-bets-football/
37,FREE AND EASY,All the best free bets & sign up offers for punters right here,https://www.thesun.co.uk/betting/20812234/best-free-bets-sign-up-offers/
38,FAB NEWS,Join Fabulous Vegas and get a 100% deposit match bonus and 50 free spins,https://www.thesun.co.uk/sun-bingo/23596453/join-fabulous-vegas-bonus-match-free-spins/
39,YOU'RE WELCOME,All the best UK casino welcome bonuses for new players revealed,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
40,CLAWS OUT,Best scratchcard online casinos in the UK,https://www.thesun.co.uk/betting/24878564/best-scratchcard-casinos-uk/
41,JINGLE BELLS,Bellingham at Hull vs Sunderland to watch brother Jobe on Real's festive break,https://www.thesun.co.uk/sport/25165676/jude-bellingham-hull-sunderland-watching-brother-jobe-real-madrid/
42,ARSENAL VS WEST HAM,Title-chasing Gunners host Hammers for thrilling Prem London derby,https://www.thesun.co.uk/sport/25155643/arsenal-vs-west-ham-preview-premier-league-stream-free/
43,NEVRA MIND,Fans say Evra ‘eating raw chicken’ after odd analysis.. but proves haters wrong,https://www.thesun.co.uk/sport/25168021/patrice-evra-man-united-aston-villa-analysis/
44,GOT EM,Unai Emery branded a 'politician in disguise' over awkward interview,https://www.thesun.co.uk/sport/25169488/unai-emery-politician-awkward-interview/
45,"AMAZON PAIN, FOREST",Forest star takes swipe at Amazon Prime as they make huge error,https://www.thesun.co.uk/sport/25173955/nottingham-forest-swipe-amazon-prime-nationality-neco-williams/
46,CRIST ALMIGHTY,Spurs star Romero out for five weeks and Van de Ven return date confirmed,https://www.thesun.co.uk/sport/25171752/tottenham-injury-cristian-romero-van-de-ven/
47,PLAY NOW,Somebody must win £500 Amazon voucher with Score Predictor this Christmas Eve!,https://www.thesun.co.uk/sport/football/dream-team/25127613/amazon-voucher-score-predictor-christmas-eve-top-tips/
48,SPURRED ON,Pedro Porro fantastic Dream Team option despite Tottenham's lack of clean sheets,https://www.thesun.co.uk/sport/football/dream-team/25016243/tottenham-pedro-porro-stats-fantasy-football-defenders-assists/
49,REFRESH,"Second Shot competition open to new and existing managers - £5,000 up for grabs!",https://www.thesun.co.uk/sport/24952802/second-shot-competition-fantasy-football-january-prize-money/
50,BABY BOOM,Kalvin Phillips' stunning Wag gives birth as Man City ace prepares for transfer,https://www.thesun.co.uk/sport/25165283/kalvin-phillips-wag-baby-man-city-transfer/
51,ARSENAL NEWS,"Gunners eye Viktor Gyokeres, Eddie Nketiah EXCLUSIVE, Ivan Toney latest",https://www.thesun.co.uk/sport/24942036/arsenal-transfer-news-live-inacio-toney-partey-updates/
52,LIGT WORK,Arsenal 'line up Matthijs de Ligt but may have to wait until summer',https://www.thesun.co.uk/sport/25173347/arsenal-matthijs-de-ligt-arsenal-transfer-news/
53,ECH-ING CLOSER,City closing in on 'new Messi' - but fans won't see him for at least a year,https://www.thesun.co.uk/sport/25175547/man-city-transfer-claudio-echeverri/
54,GIFT OF GAB,Arsenal and Chelsea dealt transfer blow as PSG ‘agree to sign Brazil wonderkid’,https://www.thesun.co.uk/sport/25169900/arsenal-man-utd-and-chelsea-transfers-psg-gabriel-moscardo/
55,KARREN BRADY,Seeing Kane and Bellingham tear up Europe is perfect Xmas gift for Southgate,https://www.thesun.co.uk/sport/25146558/kane-bellingham-southgate-england-karren-brady/
56,DAVE KIDD,'Snowflake' Havertz finally showing Arsenal fans why he's had £135m spent on him,https://www.thesun.co.uk/sport/25097223/arsenal-news-kai-havertz-winning-fans-over/
57,HARRY REDKNAPP,Klopp and Pep would struggle to keep Luton up… Edwards is a miracle worker,https://www.thesun.co.uk/sport/25152950/harry-redknapp-christmas-awards-klopp-guardiola-luton-edwards/
58,'STYLE UNMATCHED',Ex-Premier League Wag and 'world's hottest woman' stuns in outfit,https://www.thesun.co.uk/sport/25165394/viktoria-varga-wag-worlds-hottest-woman-graziano-pelle/
59,AL TO PLAY FOR,Alisha Lehmann shares 'blissful' Christmas video leaving fans feeling merry,https://www.thesun.co.uk/sport/25161620/alisha-lehmann-christmas-run-video/
60,OOH LE LE,Former Chelsea star's daughter sends Instagram wild in 'sublime' red dress,https://www.thesun.co.uk/sport/25174758/frank-leboeuf-daughter-jade-photos/
